body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.711762,-0.007071,-0.016130,-0.702200,0.710251,-0.041201,-0.034576,-0.701891,0.754856,0.027877,0.050782,-0.653327,0.756572,-0.003940,0.002901,-0.653892,0.711370,-0.017100,-0.039486,-0.701499,-0.646869,-0.058584,-0.020366,0.760075,-0.646428,0.009070,0.020277,0.762652,-0.703336,-0.060335,-0.037899,0.707278,-0.684350,-0.103691,0.094015,0.715594,-0.364047,-0.630465,-0.194246,0.657458,-0.454572,-0.581809,-0.295771,0.606120,0.711084,-0.044012,0.089830,-0.695955,0.664482,0.247603,0.602079,-0.366958,0.588673,0.229913,0.619931,-0.465070
0.711762,-0.007071,-0.016130,-0.702200,0.710251,-0.041201,-0.034576,-0.701891,0.754856,0.027877,0.050782,-0.653327,0.756572,-0.003940,0.002901,-0.653892,0.711370,-0.017100,-0.039486,-0.701499,-0.646869,-0.058584,-0.020366,0.760075,-0.646428,0.009070,0.020277,0.762652,-0.703336,-0.060335,-0.037899,0.707278,-0.684278,-0.103241,0.094446,0.715671,-0.364295,-0.630265,-0.193741,0.657663,-0.454798,-0.581575,-0.295309,0.606402,0.711165,-0.044446,0.089385,-0.695902,0.664700,0.247113,0.601880,-0.367219,0.588896,0.229468,0.619671,-0.465354
0.711801,-0.006552,-0.015555,-0.702178,0.710300,-0.040904,-0.034423,-0.701866,0.754643,0.028498,0.051202,-0.653513,0.756390,-0.004063,0.002758,-0.654103,0.711410,-0.016753,-0.039316,-0.701477,-0.646973,-0.058935,-0.020609,0.759953,-0.646530,0.009114,0.020593,0.762556,-0.703484,-0.061323,-0.038347,0.707022,-0.684250,-0.103508,0.094438,0.715661,-0.364050,-0.630274,-0.193527,0.657852,-0.454712,-0.581248,-0.295683,0.606597,0.711543,-0.044211,0.089286,-0.695542,0.665133,0.246760,0.602199,-0.366148,0.589260,0.229184,0.619989,-0.464609
0.711801,-0.006552,-0.015555,-0.702178,0.710300,-0.040904,-0.034423,-0.701866,0.754643,0.028498,0.051202,-0.653513,0.756390,-0.004063,0.002758,-0.654103,0.711410,-0.016753,-0.039316,-0.701477,-0.646973,-0.058935,-0.020609,0.759953,-0.646530,0.009114,0.020593,0.762556,-0.703484,-0.061323,-0.038347,0.707022,-0.684250,-0.103508,0.094438,0.715661,-0.364050,-0.630274,-0.193527,0.657852,-0.455061,-0.580960,-0.296083,0.606416,0.711543,-0.044211,0.089286,-0.695542,0.665133,0.246760,0.602199,-0.366148,0.589260,0.229184,0.619989,-0.464609
0.711911,-0.006081,-0.015017,-0.702083,0.710424,-0.040565,-0.034237,-0.701769,0.754498,0.029186,0.051699,-0.653612,0.756280,-0.004119,0.002629,-0.654231,0.711527,-0.016247,-0.038982,-0.701388,-0.647033,-0.059398,-0.020988,0.759856,-0.646596,0.009300,0.020522,0.762500,-0.703812,-0.062002,-0.038898,0.706605,-0.684497,-0.103521,0.094012,0.715479,-0.364550,-0.629662,-0.194065,0.658003,-0.455823,-0.580065,-0.296489,0.606502,0.712064,-0.043597,0.088977,-0.695088,0.665605,0.246811,0.602285,-0.365112,0.589688,0.229375,0.620074,-0.463858
0.711939,-0.005933,-0.014741,-0.702061,0.710451,-0.040590,-0.034355,-0.701735,0.754439,0.029435,0.051886,-0.653654,0.756238,-0.004565,0.002402,-0.654276,0.711558,-0.016136,-0.038967,-0.701360,-0.646969,-0.059619,-0.021093,0.759889,-0.646531,0.009381,0.020524,0.762554,-0.704089,-0.062285,-0.039174,0.706289,-0.684780,-0.103425,0.093531,0.715285,-0.365138,-0.628817,-0.194584,0.658332,-0.456500,-0.579058,-0.296995,0.606707,0.712436,-0.043335,0.088743,-0.694753,0.666026,0.246720,0.602015,-0.364851,0.590027,0.229581,0.619686,-0.463842
0.711907,-0.005384,-0.014268,-0.702108,0.710443,-0.040042,-0.033881,-0.701797,0.754387,0.030016,0.052320,-0.653652,0.756216,-0.004430,0.002323,-0.654303,0.711533,-0.015588,-0.038494,-0.701425,-0.646889,-0.060127,-0.021608,0.759903,-0.646468,0.009441,0.020483,0.762607,-0.704010,-0.062832,-0.039647,0.706293,-0.684664,-0.103951,0.093053,0.715381,-0.364659,-0.629124,-0.195011,0.658178,-0.456065,-0.579434,-0.297382,0.606486,0.712437,-0.042780,0.089213,-0.694726,0.665859,0.247251,0.602233,-0.364437,0.589868,0.230063,0.619981,-0.463412
0.711865,-0.004901,-0.013769,-0.702165,0.710402,-0.039878,-0.033726,-0.701855,0.754337,0.030298,0.052580,-0.653677,0.756187,-0.004730,0.002175,-0.654335,0.711487,-0.015394,-0.038311,-0.701485,-0.646889,-0.060187,-0.021714,0.759895,-0.646450,0.009872,0.020919,0.762606,-0.703911,-0.063581,-0.040155,0.706296,-0.684509,-0.104420,0.092498,0.715534,-0.364320,-0.629101,-0.195393,0.658274,-0.455595,-0.579784,-0.297256,0.606566,0.712475,-0.042034,0.089449,-0.694703,0.666302,0.247673,0.601614,-0.364364,0.590385,0.230599,0.619205,-0.463524
0.711801,-0.004552,-0.013218,-0.702242,0.710364,-0.039532,-0.033171,-0.701940,0.754246,0.030688,0.053104,-0.653721,0.756133,-0.004807,0.002168,-0.654397,0.711434,-0.015048,-0.037759,-0.701577,-0.646773,-0.060490,-0.022287,0.759953,-0.646384,0.009574,0.020338,0.762681,-0.703795,-0.063929,-0.040701,0.706349,-0.684385,-0.104742,0.091952,0.715675,-0.363826,-0.629255,-0.195804,0.658277,-0.455123,-0.580014,-0.297652,0.606507,0.712420,-0.041674,0.089999,-0.694709,0.666020,0.248103,0.601919,-0.364083,0.590102,0.230968,0.619564,-0.463221
0.711815,-0.003935,-0.012625,-0.702242,0.710401,-0.038973,-0.033077,-0.701938,0.754468,0.031074,0.053033,-0.653452,0.756353,-0.004932,0.001737,-0.654142,0.711450,-0.014539,-0.037736,-0.701572,-0.646838,-0.060939,-0.022323,0.759861,-0.646433,0.009559,0.020758,0.762629,-0.703307,-0.064590,-0.041421,0.706733,-0.683916,-0.104995,0.090885,0.716223,-0.362575,-0.629458,-0.196309,0.658623,-0.453611,-0.580733,-0.297948,0.606807,0.712039,-0.040853,0.090704,-0.695057,0.665797,0.249066,0.601775,-0.364070,0.589993,0.231682,0.619469,-0.463131
0.711869,-0.003184,-0.012012,-0.702202,0.710487,-0.038222,-0.032467,-0.701921,0.754490,0.031857,0.053598,-0.653343,0.756406,-0.004143,0.002299,-0.654086,0.711512,-0.013787,-0.037125,-0.701557,-0.646836,-0.061630,-0.023002,0.759786,-0.646496,0.008865,0.020081,0.762602,-0.703299,-0.065329,-0.042044,0.706636,-0.683858,-0.105726,0.090248,0.716251,-0.362034,-0.629853,-0.196957,0.658350,-0.453121,-0.581203,-0.298534,0.606433,0.712137,-0.040110,0.091307,-0.694920,0.665637,0.249697,0.602084,-0.363418,0.589858,0.232247,0.619879,-0.462469
0.711892,-0.002628,-0.011565,-0.702189,0.710540,-0.037580,-0.031802,-0.701933,0.754886,0.031490,0.053130,-0.652942,0.756779,-0.005105,0.001432,-0.653649,0.711533,-0.013495,-0.036843,-0.701557,-0.646770,-0.061766,-0.023187,0.759826,-0.646416,0.009182,0.020611,0.762651,-0.702758,-0.065602,-0.042699,0.707109,-0.683370,-0.105966,0.089343,0.716794,-0.360650,-0.630268,-0.197303,0.658609,-0.451249,-0.582032,-0.299095,0.606758,0.711698,-0.039592,0.091609,-0.695360,0.665265,0.250499,0.602214,-0.363334,0.589556,0.232871,0.620086,-0.462264
0.711800,-0.001874,-0.011366,-0.702287,0.710501,-0.036335,-0.030525,-0.702094,0.755358,0.031585,0.053068,-0.652396,0.757242,-0.005427,0.001751,-0.653109,0.711435,-0.012973,-0.036267,-0.701695,-0.646539,-0.062175,-0.023721,0.759973,-0.646205,0.009258,0.020767,0.762825,-0.702288,-0.066190,-0.043454,0.707476,-0.682886,-0.106714,0.088554,0.717243,-0.359721,-0.630516,-0.197660,0.658772,-0.449766,-0.582395,-0.299867,0.607129,0.711370,-0.038944,0.092059,-0.695673,0.664548,0.251570,0.602786,-0.362957,0.588799,0.233856,0.620864,-0.461688
0.711800,-0.001874,-0.011366,-0.702287,0.710589,-0.034969,-0.029139,-0.702133,0.756242,0.031068,0.052353,-0.651454,0.758074,-0.005231,0.001740,-0.652146,0.711450,-0.012534,-0.035822,-0.701712,-0.646506,-0.062573,-0.024202,0.759953,-0.646217,0.008860,0.020285,0.762833,-0.702288,-0.066190,-0.043454,0.707476,-0.682886,-0.106714,0.088554,0.717243,-0.359721,-0.630516,-0.197660,0.658772,-0.449766,-0.582395,-0.299867,0.607129,0.711370,-0.038944,0.092059,-0.695673,0.664548,0.251570,0.602786,-0.362957,0.588799,0.233856,0.620864,-0.461688
