body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.003835,-0.026530,-0.003047,-0.004304,-0.020915,-0.003512,-0.001296,-0.015028,-0.003224,0.000582,-0.002048,-0.001842,-0.004309,-0.021380,-0.002767,-0.002435,-0.012682,-0.001819,-0.000417,-0.003217,-0.000655,-0.004067,-0.028982,-0.002797,-0.006714,-0.038742,-0.002875,-0.006416,-0.036523,-0.002932,-0.009240,-0.038221,-0.002898,-0.006605,-0.043701,-0.006791,-0.001415,-0.043227,-0.007685,0.004319,-0.040898,-0.008259
-0.003748,-0.027766,-0.003254,-0.004202,-0.022010,-0.003696,-0.001430,-0.015367,-0.003344,0.000243,-0.001804,-0.001871,-0.004208,-0.022381,-0.002980,-0.002408,-0.012940,-0.001961,-0.000543,-0.003032,-0.000743,-0.003941,-0.030278,-0.003000,-0.005937,-0.040746,-0.003584,-0.006846,-0.036858,-0.004061,-0.011011,-0.037578,-0.004366,-0.005855,-0.046017,-0.006781,-0.000660,-0.043855,-0.007685,0.005390,-0.040471,-0.008421
-0.003548,-0.029273,-0.003400,-0.003986,-0.023112,-0.003816,-0.001583,-0.015076,-0.003352,-0.000135,-0.000832,-0.001776,-0.003994,-0.023223,-0.003140,-0.002299,-0.012558,-0.002004,-0.000619,-0.001777,-0.000690,-0.003682,-0.031995,-0.003125,-0.005123,-0.043868,-0.004287,-0.006903,-0.037831,-0.005122,-0.011896,-0.036601,-0.005902,-0.005064,-0.048445,-0.006706,-0.000092,-0.043994,-0.007584,0.006243,-0.039541,-0.008480
-0.003233,-0.031224,-0.003530,-0.003641,-0.024478,-0.003906,-0.001718,-0.014403,-0.003280,-0.000447,0.000284,-0.001632,-0.003651,-0.024220,-0.003301,-0.002110,-0.012102,-0.002027,-0.000662,-0.000320,-0.000610,-0.003292,-0.034256,-0.003225,-0.004351,-0.048315,-0.005006,-0.006664,-0.040033,-0.006108,-0.011907,-0.036009,-0.007467,-0.004305,-0.050958,-0.006640,0.000022,-0.043835,-0.007419,0.006293,-0.038254,-0.008467
-0.002883,-0.033709,-0.003600,-0.003219,-0.026245,-0.003892,-0.001787,-0.013536,-0.003058,-0.000514,0.001043,-0.001411,-0.003230,-0.025695,-0.003438,-0.001779,-0.012076,-0.002013,-0.000491,0.000694,-0.000495,-0.002859,-0.037082,-0.003262,-0.003633,-0.053820,-0.005699,-0.006335,-0.043490,-0.007011,-0.011460,-0.036193,-0.009001,-0.003593,-0.053592,-0.006493,-0.000230,-0.043763,-0.007113,0.005444,-0.036818,-0.008325
-0.002618,-0.036659,-0.003493,-0.002780,-0.028379,-0.003600,-0.001792,-0.012332,-0.002501,-0.000221,0.001257,-0.000971,-0.002787,-0.027808,-0.003483,-0.001236,-0.012684,-0.001890,0.000092,0.001110,-0.000257,-0.002529,-0.040335,-0.003126,-0.002992,-0.059714,-0.006234,-0.006097,-0.047696,-0.007732,-0.011022,-0.037178,-0.010327,-0.002957,-0.056330,-0.006100,-0.000557,-0.044194,-0.006552,0.004006,-0.035527,-0.007959
-0.002510,-0.039897,-0.003070,-0.002319,-0.030822,-0.002815,-0.001898,-0.010341,-0.001352,0.000241,0.000906,-0.000111,-0.002314,-0.030548,-0.003362,-0.000529,-0.013916,-0.001586,0.000957,0.000931,0.000173,-0.002409,-0.043753,-0.002688,-0.002515,-0.065207,-0.006401,-0.005930,-0.051976,-0.008029,-0.010671,-0.038851,-0.011104,-0.002486,-0.058970,-0.005325,-0.000755,-0.045340,-0.005653,0.002332,-0.034717,-0.007272
-0.002551,-0.043194,-0.002143,-0.001778,-0.033604,-0.001297,-0.002380,-0.007127,0.000685,0.000442,-0.000045,0.001414,-0.001753,-0.033803,-0.002919,0.000161,-0.015691,-0.000968,0.001655,0.000055,0.000892,-0.002520,-0.046994,-0.001769,-0.002348,-0.069621,-0.005888,-0.005629,-0.055810,-0.007494,-0.010082,-0.041222,-0.010809,-0.002319,-0.061109,-0.004055,-0.000890,-0.047066,-0.004315,0.000540,-0.034663,-0.006113
-0.002722,-0.046227,-0.000415,-0.001150,-0.036735,0.001238,-0.003354,-0.002740,0.003905,0.000182,-0.001570,0.003907,-0.001099,-0.037325,-0.001846,0.000700,-0.017769,0.000266,0.001884,-0.001499,0.002158,-0.002856,-0.049631,-0.000085,-0.002711,-0.072520,-0.004279,-0.005033,-0.058955,-0.005600,-0.008881,-0.044435,-0.008824,-0.002669,-0.062283,-0.002139,-0.001341,-0.048919,-0.002366,-0.001565,-0.035453,-0.004240
-0.003117,-0.048502,0.002494,-0.000574,-0.039982,0.005116,-0.004532,0.001594,0.008509,-0.000218,-0.003474,0.007722,-0.000496,-0.040603,0.000283,0.001105,-0.019649,0.002552,0.001828,-0.003282,0.004392,-0.003509,-0.051145,0.002745,-0.003902,-0.073780,-0.001143,-0.004239,-0.061418,-0.001866,-0.006953,-0.048539,-0.004638,-0.003823,-0.062148,0.000643,-0.002680,-0.050263,0.000461,-0.004353,-0.036914,-0.001330
