joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.646661,0.207985,0.017861,-0.022398,0.133142,-0.061181,0.196223,-0.161453,0.144567,0.396743,0.297084,-0.382508,-0.367120,-0.449508,-0.358696,1.046335,-1.243577,0.084325,-0.171835,0.097243,-0.037909,0.153571,0.432789,-0.534611,0.482523,-0.016124,0.030663,0.564759,-0.632674
-0.565338,0.221816,0.011974,0.003145,0.175053,-0.013644,0.156078,-0.165643,0.168041,0.173695,0.302128,-0.469783,-0.501860,-0.401343,-0.368607,0.985760,-1.150414,0.031870,-0.182766,-0.019735,0.108722,0.257878,0.467885,-0.480823,0.447212,0.015301,0.046702,0.535289,-0.621349
-0.508993,0.221816,0.018781,0.049088,0.206045,0.028095,0.124437,-0.150962,0.196645,0.062673,0.331314,-0.539262,-0.636508,-0.338594,-0.386486,0.936085,-1.062740,-0.029162,-0.189159,-0.110696,0.272348,0.381802,0.552344,-0.468473,0.416563,0.025134,0.043794,0.501361,-0.610079
-0.497628,0.221959,0.007565,0.089567,0.227866,0.054179,0.123759,-0.147424,0.224546,0.102883,0.355733,-0.600892,-0.750930,-0.308728,-0.402375,0.899785,-0.972325,-0.028989,-0.194751,-0.198338,0.407400,0.502695,0.649420,-0.474514,0.371150,0.034635,0.029005,0.451190,-0.585185
-0.508754,0.222627,-0.012663,0.127314,0.245103,0.072057,0.138562,-0.149458,0.252096,0.218711,0.377769,-0.658597,-0.855240,-0.295303,-0.417271,0.870173,-0.880537,0.001787,-0.199943,-0.284321,0.528166,0.622074,0.752806,-0.489752,0.318355,0.043970,0.008275,0.392897,-0.553477
-0.520070,0.242540,-0.048828,0.136577,0.236046,0.072057,0.190538,-0.163602,0.266924,0.386304,0.359033,-0.682935,-0.880220,-0.293170,-0.411421,0.860994,-0.813038,0.055825,-0.195861,-0.424563,0.588448,0.705909,0.792042,-0.474866,0.281305,0.050223,-0.003048,0.343729,-0.517734
-0.527122,0.256330,-0.078916,0.141050,0.219299,0.068517,0.243257,-0.172246,0.274830,0.539826,0.336936,-0.698444,-0.888946,-0.299131,-0.399989,0.857354,-0.751091,0.106842,-0.189982,-0.570736,0.643285,0.767615,0.817467,-0.454619,0.253861,0.053347,-0.011697,0.301656,-0.489491
-0.527122,0.257872,-0.096849,0.135943,0.187174,0.059035,0.297464,-0.169894,0.268890,0.665209,0.308118,-0.696294,-0.865162,-0.321280,-0.377393,0.864791,-0.700247,0.151816,-0.180512,-0.728773,0.687233,0.785066,0.815270,-0.423652,0.245630,0.050215,-0.014998,0.273769,-0.476245
-0.523836,0.240758,-0.099786,0.125697,0.146310,0.045500,0.348362,-0.160014,0.260041,0.765602,0.296087,-0.675954,-0.828435,-0.341597,-0.358803,0.868640,-0.652244,0.192389,-0.168366,-0.842949,0.720130,0.757410,0.810607,-0.380043,0.238479,0.048206,-0.018208,0.245969,-0.464879
-0.519647,0.214316,-0.095226,0.112882,0.101076,0.029939,0.397607,-0.146369,0.249737,0.853501,0.292450,-0.646518,-0.785237,-0.360998,-0.342216,0.870694,-0.605661,0.230760,-0.154881,-0.935195,0.747500,0.707202,0.804709,-0.330113,0.231868,0.047242,-0.021373,0.218212,-0.454453
-0.502621,0.169568,-0.084127,0.104020,0.061602,0.013723,0.447786,-0.135499,0.247006,0.887082,0.319807,-0.580196,-0.735357,-0.371712,-0.314186,0.852970,-0.550787,0.246906,-0.125555,-0.949921,0.753791,0.648244,0.818684,-0.277057,0.212022,0.044369,-0.029641,0.197260,-0.438529
-0.478035,0.124883,-0.074851,0.098793,0.025762,0.001814,0.497383,-0.135879,0.245759,0.896977,0.349243,-0.506811,-0.684774,-0.381108,-0.284270,0.829403,-0.490709,0.256890,-0.085287,-0.954392,0.752710,0.599380,0.847084,-0.234613,0.193833,0.037036,-0.042346,0.180974,-0.420557
-0.438326,0.080325,-0.069225,0.100835,-0.002811,-0.001481,0.545818,-0.158757,0.247478,0.859497,0.382838,-0.419301,-0.632785,-0.387867,-0.250580,0.794150,-0.420222,0.254549,-0.023136,-0.938353,0.736886,0.570705,0.904335,-0.213395,0.178957,0.020784,-0.063927,0.174018,-0.398493
-0.402740,0.049054,-0.069086,0.105013,-0.031341,0.001114,0.588052,-0.199568,0.246183,0.800461,0.390494,-0.334280,-0.585008,-0.397229,-0.266240,0.744898,-0.348627,0.254538,-0.017519,-0.914370,0.702011,0.571777,0.979705,-0.209695,0.175255,0.002488,-0.081410,0.172710,-0.376402
-0.369216,0.024426,-0.071690,0.110259,-0.059851,0.006653,0.627186,-0.249344,0.243381,0.730647,0.385180,-0.250505,-0.539339,-0.407893,-0.306574,0.688649,-0.276478,0.255308,-0.039781,-0.886414,0.657610,0.587721,1.064133,-0.214755,0.177140,-0.016829,-0.096844,0.172810,-0.354298
-0.349572,0.019526,-0.082310,0.112925,-0.077520,0.008098,0.664976,-0.301361,0.224944,0.660458,0.356313,-0.176271,-0.506874,-0.415507,-0.304372,0.607031,-0.205270,0.245816,-0.039781,-0.846973,0.594796,0.666425,1.178735,-0.229283,0.197551,-0.038562,-0.099136,0.172810,-0.324681
-0.332636,0.019149,-0.091705,0.113412,-0.089959,0.006886,0.703428,-0.341268,0.205289,0.597383,0.326357,-0.109491,-0.469641,-0.426715,-0.303723,0.521123,-0.147995,0.235629,-0.026239,-0.801363,0.526112,0.757400,1.284360,-0.249671,0.237608,-0.058704,-0.101600,0.170711,-0.291079
-0.321114,0.027821,-0.098646,0.109540,-0.091941,0.000364,0.743200,-0.356957,0.183202,0.548536,0.294225,-0.057616,-0.422871,-0.445113,-0.306179,0.426636,-0.118583,0.224050,0.013226,-0.743412,0.445686,0.872920,1.372035,-0.281777,0.316959,-0.075662,-0.101600,0.167144,-0.249506
-0.313525,0.043078,-0.100078,0.115498,-0.079614,-0.005177,0.754046,-0.380233,0.168644,0.529152,0.281596,-0.003079,-0.367422,-0.459699,-0.347864,0.364308,-0.114488,0.219107,0.030060,-0.683603,0.375427,0.962435,1.455114,-0.320269,0.440648,-0.077514,-0.088351,0.171930,-0.192553
-0.307902,0.061627,-0.098755,0.126371,-0.060134,-0.010226,0.750429,-0.407302,0.157850,0.524501,0.278720,0.052790,-0.307634,-0.472380,-0.409163,0.318060,-0.123051,0.217481,0.035578,-0.622865,0.310252,1.038948,1.535896,-0.361955,0.586506,-0.071813,-0.067075,0.180892,-0.127910
-0.366617,0.043393,-0.087011,0.143066,-0.063322,-0.026706,0.679773,-0.460433,0.157850,0.634476,0.384629,0.089397,-0.251412,-0.472920,-0.509233,0.314532,-0.151354,0.237224,0.031444,-0.574745,0.298626,1.103506,1.560176,-0.392695,0.721416,-0.049075,-0.017658,0.185820,-0.073951
-0.417239,0.021680,-0.073662,0.139216,-0.093060,-0.049745,0.613049,-0.513332,0.161134,0.738733,0.523801,0.124211,-0.180251,-0.472801,-0.599364,0.313382,-0.188015,0.249158,0.034940,-0.514145,0.272455,1.161166,1.575675,-0.414223,0.833540,-0.023392,0.028778,0.186986,-0.035339
-0.451675,-0.006991,-0.057101,0.094277,-0.175894,-0.085901,0.554190,-0.565768,0.171825,0.831553,0.729496,0.155442,-0.079213,-0.470825,-0.669618,0.316988,-0.241395,0.245476,0.053695,-0.428584,0.217194,1.205031,1.573617,-0.417330,0.900092,0.008178,0.069253,0.180629,-0.027420
