body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.040619,0.104492,0.777732,0.084469,0.080640,0.661803,0.077757,-0.139844,0.449318,0.035965,-0.190843,0.140675,-0.148107,0.098417,0.637750,-0.094816,0.138223,0.338880,-0.035637,0.265299,0.055067,-0.042334,0.111722,0.831288,0.110325,0.098192,1.058772,0.275699,0.063950,0.984182,0.311475,-0.103464,1.051949,-0.169784,0.082873,1.072276,-0.348171,0.040342,1.051204,-0.415994,-0.126261,1.091287
-0.040037,0.107540,0.771814,0.080017,0.081920,0.649498,0.070323,-0.122028,0.421275,0.041778,-0.233480,0.127053,-0.153138,0.100656,0.636462,-0.096473,0.140701,0.338235,-0.032580,0.265665,0.054543,-0.040424,0.115794,0.825302,0.109542,0.096870,1.054592,0.267293,0.045270,0.973898,0.299108,-0.128743,1.025412,-0.170658,0.086956,1.065289,-0.343165,0.033111,1.028009,-0.404174,-0.138325,1.057400
-0.039407,0.111001,0.766089,0.075492,0.082452,0.638403,0.063692,-0.106402,0.397682,0.045560,-0.261943,0.122927,-0.157512,0.104559,0.635129,-0.098216,0.142215,0.337098,-0.029786,0.265924,0.053981,-0.038538,0.120210,0.819437,0.108313,0.095152,1.050603,0.257307,0.026891,0.965882,0.283885,-0.152197,1.000384,-0.171775,0.091279,1.058446,-0.335967,0.023910,1.008229,-0.388697,-0.151827,1.026027
-0.038678,0.115285,0.760749,0.071174,0.081480,0.629256,0.061039,-0.097082,0.380760,0.049757,-0.270334,0.115981,-0.160746,0.111719,0.633362,-0.100687,0.142352,0.334692,-0.028240,0.267115,0.053164,-0.036687,0.125276,0.813922,0.106421,0.091919,1.046799,0.246427,0.009480,0.959503,0.270454,-0.172588,0.975254,-0.173332,0.095687,1.051793,-0.327769,0.014508,0.992241,-0.375466,-0.163545,0.994063
-0.038935,0.119285,0.756152,0.067824,0.082264,0.622859,0.062443,-0.096995,0.374717,0.054324,-0.259947,0.103181,-0.163491,0.115861,0.631193,-0.102583,0.141316,0.332212,-0.027598,0.267719,0.052198,-0.036212,0.129998,0.809139,0.103839,0.089593,1.043164,0.235736,-0.004153,0.954753,0.258533,-0.187047,0.952007,-0.175394,0.099356,1.046278,-0.318478,0.004144,0.979764,-0.361132,-0.174762,0.967496
-0.039685,0.123143,0.751926,0.065040,0.083862,0.617795,0.065850,-0.101370,0.374009,0.058002,-0.239077,0.088757,-0.166045,0.118459,0.628838,-0.104148,0.139911,0.329744,-0.027389,0.268512,0.051328,-0.036426,0.134566,0.804720,0.100874,0.087805,1.039604,0.225016,-0.015661,0.950898,0.247942,-0.197427,0.930523,-0.177731,0.102744,1.041345,-0.307969,-0.006456,0.970251,-0.345143,-0.185284,0.945665
-0.039546,0.120653,0.752979,0.067461,0.083542,0.620168,0.074853,-0.106280,0.379993,0.058384,-0.202129,0.078428,-0.164647,0.111948,0.628944,-0.102334,0.139219,0.330400,-0.027544,0.268310,0.051630,-0.036936,0.132526,0.805710,0.096676,0.083420,1.042418,0.218240,-0.023218,0.954044,0.240047,-0.201387,0.912081,-0.181719,0.099731,1.040317,-0.301528,-0.015743,0.961306,-0.330468,-0.194350,0.926394
-0.038826,0.117845,0.755739,0.071021,0.083456,0.624607,0.084205,-0.108431,0.386248,0.053701,-0.163328,0.075704,-0.161851,0.106425,0.629945,-0.100198,0.139435,0.331835,-0.028258,0.268056,0.052015,-0.037099,0.129766,0.808498,0.092468,0.078273,1.047060,0.212768,-0.029801,0.958845,0.234007,-0.202275,0.897336,-0.185717,0.095870,1.040619,-0.295383,-0.023352,0.952974,-0.315023,-0.200854,0.907626
-0.036945,0.114401,0.761913,0.076896,0.083686,0.633299,0.093956,-0.105750,0.393124,0.048368,-0.122574,0.080156,-0.156381,0.102893,0.632725,-0.097028,0.141446,0.334816,-0.029304,0.267672,0.052701,-0.036563,0.125584,0.814867,0.088198,0.071683,1.055434,0.209950,-0.034669,0.967258,0.228595,-0.199655,0.887171,-0.189805,0.090445,1.043549,-0.290761,-0.027656,0.944679,-0.299755,-0.202660,0.887774
-0.033797,0.112077,0.768900,0.083950,0.084349,0.643116,0.101838,-0.100550,0.399371,0.042067,-0.083732,0.088911,-0.149237,0.102579,0.635870,-0.093714,0.142213,0.337374,-0.030461,0.266446,0.053219,-0.034775,0.122126,0.822083,0.085893,0.064867,1.063807,0.209671,-0.037221,0.973528,0.222234,-0.194307,0.877877,-0.191949,0.084832,1.047390,-0.284653,-0.029243,0.936469,-0.283841,-0.200024,0.867368
