body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.005173,-0.054375,-0.043798,-0.555106,-0.163624,-0.045540,0.564457,0.038550,0.086688,0.545685,0.187292,0.091610,-0.402953,0.035786,-0.062849,0.468644,-0.118700,-0.010376,0.446573,-0.053271,-0.012521,0.076627,-0.005039,-0.060294,0.057175,-0.150371,-0.069891,-0.476344,0.189705,0.215028,-0.298853,0.071433,0.083561,0.132125,0.100864,-0.060459,-0.560741,-0.302848,-0.339640,-0.595060,-0.165914,-0.313029
0.018032,-0.055410,-0.058198,-0.645637,-0.178007,-0.060738,0.652131,0.048630,0.019867,0.559005,0.185537,0.027190,-0.581214,0.045887,-0.084289,0.743003,-0.194392,0.001451,0.477894,-0.044348,-0.012124,0.083846,-0.006080,-0.046670,0.157469,-0.215588,-0.029018,-0.858219,0.424720,0.435431,-0.481521,0.153819,0.154190,0.240786,0.174423,-0.065292,-0.997232,-0.543331,-0.477120,-1.037055,-0.253429,-0.438143
0.030868,-0.066489,-0.074580,-0.622670,-0.167135,-0.080633,0.654168,0.048407,-0.055218,0.521122,0.162360,-0.047180,-0.711743,0.042783,-0.108897,1.039470,-0.281194,0.017683,0.465877,-0.034337,-0.010926,0.101020,-0.002895,-0.029280,0.326298,-0.303742,0.031945,-1.372015,0.745555,0.688435,-0.689174,0.234340,0.202806,0.379684,0.275969,-0.068270,-1.620977,-0.873606,-0.591093,-1.645662,-0.321626,-0.542045
0.042082,-0.100674,-0.095040,-0.523758,-0.139363,-0.109677,0.587643,0.040659,-0.126211,0.435962,0.117871,-0.119385,-0.813484,0.019395,-0.140898,1.282270,-0.366258,0.048532,0.399900,-0.031098,0.003975,0.134942,0.008250,-0.015492,0.548561,-0.401144,0.098075,-1.972164,1.110716,0.911666,-0.921361,0.301623,0.218535,0.513885,0.384975,-0.068000,-2.422715,-1.279343,-0.640830,-2.359290,-0.351156,-0.595712
0.049957,-0.161439,-0.120087,-0.435914,-0.114192,-0.148760,0.502276,0.029926,-0.184400,0.308250,0.054972,-0.180069,-0.953604,-0.026561,-0.181818,1.398135,-0.437891,0.108100,0.286468,-0.039987,0.050418,0.192508,0.026648,-0.012878,0.778575,-0.482988,0.145845,-2.568272,1.449972,1.035021,-1.218908,0.394547,0.237930,0.593466,0.462105,-0.061654,-3.336224,-1.723942,-0.602666,-3.017153,-0.348743,-0.595348
0.048272,-0.230895,-0.138748,-0.446712,-0.109122,-0.183422,0.465186,0.020987,-0.226214,0.142353,-0.020778,-0.224420,-1.170458,-0.087732,-0.217433,1.369039,-0.491238,0.197655,0.166596,-0.052553,0.133178,0.277708,0.045160,-0.021882,0.952539,-0.522936,0.156832,-3.043257,1.685955,1.021280,-1.659268,0.620745,0.356691,0.576378,0.464578,-0.040995,-4.231731,-2.151459,-0.475358,-3.402844,-0.355818,-0.562649
0.026176,-0.275827,-0.129104,-0.600123,-0.128937,-0.185609,0.543057,0.018960,-0.248895,-0.045828,-0.099861,-0.248545,-1.428000,-0.142727,-0.219440,1.261894,-0.530321,0.290190,0.113812,-0.046038,0.226842,0.385301,0.053502,-0.031944,1.016556,-0.500808,0.134265,-3.283946,1.763152,0.904171,-2.294814,1.115050,0.693421,0.454107,0.364330,0.008404,-4.922663,-2.492990,-0.279504,-3.392303,-0.456503,-0.540145
-0.022392,-0.270959,-0.076507,-0.884533,-0.166946,-0.135277,0.783533,0.029095,-0.242383,-0.209312,-0.168872,-0.242257,-1.661962,-0.162115,-0.168371,1.190947,-0.564987,0.342130,0.187999,-0.004449,0.286006,0.492372,0.045542,-0.028019,0.954463,-0.401275,0.108788,-3.212377,1.670541,0.797044,-3.056707,1.929317,1.310035,0.263447,0.155143,0.098902,-5.190743,-2.675886,-0.066288,-3.087162,-0.771615,-0.596314
-0.089063,-0.216276,0.008397,-1.231228,-0.211701,-0.039491,1.196824,0.055015,-0.183626,-0.263688,-0.217500,-0.184237,-1.835775,-0.128457,-0.071971,1.230786,-0.604544,0.328914,0.373515,0.057301,0.280883,0.558795,0.023963,-0.002578,0.800647,-0.212830,0.125531,-2.804817,1.444989,0.851654,-3.691707,2.897866,2.124269,0.078608,-0.148394,0.225745,-4.836424,-2.635508,0.071641,-2.701537,-1.377034,-0.818270
-0.155751,-0.129925,0.094348,-1.526401,-0.252556,0.076705,1.747736,0.098182,-0.041282,-0.109884,-0.250973,-0.047259,-1.925209,-0.053757,0.039822,1.358364,-0.651663,0.265581,0.573598,0.098843,0.220678,0.548232,-0.003236,0.040937,0.629681,0.058313,0.216634,-2.087021,1.148928,1.173147,-3.809283,3.612603,2.913839,-0.009050,-0.505033,0.356218,-3.749669,-2.328150,0.018095,-2.236734,-2.171235,-1.279894
-0.212788,-0.026860,0.154392,-1.685045,-0.288052,0.200963,2.371948,0.162427,0.203500,0.322935,-0.291475,0.181565,-1.885514,0.025559,0.132639,1.478343,-0.699801,0.190610,0.680412,0.088950,0.141424,0.457551,-0.030932,0.095700,0.524874,0.365892,0.375556,-1.118397,0.835740,1.734468,-3.068725,3.645435,3.511411,0.085900,-0.835072,0.434240,-1.980647,-1.745404,-0.312779,-1.384873,-2.872748,-2.036765
-0.271295,0.090991,0.185694,-1.756806,-0.333758,0.348881,3.013130,0.260309,0.527172,1.038393,-0.353118,0.473576,-1.681966,0.073060,0.184862,1.501610,-0.735656,0.135677,0.651913,0.031827,0.077417,0.318132,-0.059158,0.152792,0.535328,0.622660,0.551191,0.005558,0.527855,2.359691,-1.412388,2.909313,4.074208,0.412881,-1.030583,0.404665,0.218098,-0.935127,-0.918519,0.108177,-3.217995,-3.178594
-0.351505,0.219928,0.201341,-1.908059,-0.409708,0.533777,3.650487,0.410997,0.849712,1.955254,-0.407010,0.748821,-1.352801,0.074150,0.200279,1.400517,-0.745539,0.110149,0.525686,-0.039465,0.044080,0.159246,-0.085758,0.190176,0.658746,0.735435,0.673197,1.117311,0.222948,2.805084,0.843260,1.753405,5.065347,0.948478,-1.004133,0.248256,2.408236,-0.016631,-1.689708,2.042783,-3.134932,-4.849452
-0.454719,0.332725,0.202687,-2.234188,-0.508642,0.717027,4.285884,0.624637,1.061164,2.923973,-0.383101,0.904560,-1.005487,0.037110,0.201896,1.199539,-0.721636,0.102981,0.373554,-0.089054,0.037421,-0.020797,-0.099808,0.174443,0.889547,0.650861,0.700614,1.966944,-0.096401,2.905834,3.149451,0.606134,6.826666,1.565907,-0.749163,0.007642,4.067251,0.837259,-2.430326,3.819186,-2.686509,-7.129142
-0.549715,0.384233,0.170417,-2.625559,-0.587057,0.810261,4.897365,0.884143,1.081685,3.780916,-0.227472,0.870725,-0.726482,-0.023898,0.202520,0.925621,-0.663364,0.091690,0.248672,-0.098667,0.041913,-0.236239,-0.085747,0.089218,1.288294,0.376170,0.656558,2.326917,-0.488579,2.711863,4.970657,-0.417267,9.180906,2.063600,-0.351968,-0.220029,4.783107,1.485649,-2.917912,4.857476,-1.894978,-9.809790
-0.589987,0.346211,0.089919,-2.873751,-0.601228,0.744857,5.403214,1.143019,0.909961,4.406899,0.038439,0.650220,-0.506336,-0.102508,0.188007,0.572693,-0.573092,0.053385,0.164181,-0.072169,0.041136,-0.474647,-0.034286,-0.039921,1.943746,-0.030598,0.603136,2.169757,-1.084087,2.497026,5.957325,-1.483012,11.478827,2.294718,0.071469,-0.335642,4.474010,1.954078,-3.027254,4.954235,-0.688809,-12.260409
-0.543777,0.230019,-0.023395,-2.869745,-0.545663,0.528901,5.675171,1.345144,0.617252,4.742837,0.326104,0.310895,-0.263659,-0.197137,0.140244,0.109186,-0.450947,-0.024344,0.104903,-0.028035,0.027260,-0.687184,0.050161,-0.154711,2.810485,-0.481809,0.569235,1.710104,-2.019845,2.545457,6.019794,-2.733094,12.942384,2.311649,0.460461,-0.303646,3.472259,2.490712,-2.855501,4.336244,0.972354,-13.593795
-0.410624,0.071950,-0.131931,-2.659023,-0.449802,0.229048,5.593944,1.451886,0.294672,4.763292,0.547874,-0.059270,0.075035,-0.301164,0.066020,-0.486950,-0.294086,-0.138460,0.049018,0.012354,0.003294,-0.817098,0.150375,-0.197102,3.625211,-0.885643,0.513368,1.214204,-3.277026,2.841873,5.343811,-4.117207,12.991148,2.313635,0.815914,-0.165506,2.343750,3.394258,-2.655150,3.472444,2.947114,-13.144300
